Station,Borough
Oakleigh Park[43],Barnet
Ockendon,Thurrockout-boundary
Old StreetLondon,Islington
Orpington,Bromley
PaddingtonLondon,Westminster
Palmers Green[44],Enfield
Peckham Rye,Southwark
Penge East,Bromley
Penge West,Bromley
Petts Wood,Bromley
Plumstead,Greenwich
Ponders End[45],Enfield
Purfleet,Thurrockout-boundary
Purley,Croydon
Purley Oaks[12],Croydon
Putney[46],Wandsworth
Queen's Park,Brent
Queens Road Peckham,Southwark
Queenstown Road (Battersea),Wandsworth
Rainham,Havering
Ravensbourne,Bromley
Raynes Park,Merton
Rectory Road[22],Hackney
Reedham,Croydon
Richmond,Richmond upon Thames
Rickmansworth,Three Riversout-boundary
Riddlesdown[47],Croydon
Romford,Havering
Rotherhithe,Southwark
St Helier,Merton
St James Street[48],Waltham Forest
St Johns,Lewisham
St Margarets,Richmond upon Thames
St Mary Cray,Bromley
St PancrasLondon,Camden
Sanderstead,Croydon
Selhurst[12],Croydon
Seven Kings[21],Redbridge
Seven Sisters,Haringey
Shadwell,Tower Hamlets
Shenfield,Brentwoodout-boundary
Shepherd's Bush,Hammersmith and Fulham
Shoreditch High Street,Hackney
Shortlands,Bromley
Sidcup,Bexley
Silver Street,Enfield
Slade Green,Bexley
South Acton,Ealing
Southall,Ealing
South Bermondsey,Southwark
Southbury[49],Enfield
South Croydon,Croydon
South Greenford[50],Ealing
South Hampstead[51],Camden
South Kenton,Brent
South Merton,Merton
South Ruislip,Hillingdon
South Tottenham,Haringey
Stamford Hill,Haringey
Stoke Newington[22],Hackney
Stonebridge Park,Brent
Stoneleigh,Epsom and Ewellout-boundary
Stratford,Newham
Stratford International,Newham
Strawberry Hill[52],Richmond upon Thames
Streatham[12],Lambeth
Streatham Common[12],Lambeth
Streatham Hill[53],Lambeth
Sudbury & Harrow Road[54],Brent
Sudbury Hill Harrow[54],Harrow
Sundridge Park[55],Bromley
Surbiton,Kingston upon Thames
Surrey Quays,Southwark
Sutton[56],Sutton
Sutton Common,Sutton
Swanley,Sevenoaksout-boundary
Sydenham,Lewisham
Sydenham Hill,Southwark
Syon Lane[57],Hounslow
Tadworth,Reigate and Bansteadout-boundary
Tattenham Corner,Reigate and Bansteadout-boundary
Teddington,Richmond upon Thames
Thames Ditton,Elmbridgeout-boundary
Theobalds Grove,Broxbourneout-boundary
Thornton Heath,Croydon
Tolworth,Kingston upon Thames
Tooting[58],Merton
Tottenham Hale,Haringey
Tulse Hill[12],Lambeth
Turkey Street[59],Enfield
Twickenham[60],Richmond upon Thames
Upminster,Havering
Upper Holloway,Islington
Upper Warlingham,Tandridgeout-boundary
VauxhallLondon,Lambeth
VictoriaLondon,Westminster
Waddon,Croydon
Wallington,Sutton
Waltham Cross,Broxbourneout-boundary
Walthamstow Central,Waltham Forest
Walthamstow Queen's Road,Waltham Forest
Wandsworth Common[61],Wandsworth
Wandsworth Road,Wandsworth
Wandsworth Town[12],Wandsworth
Wanstead Park,Newham
Wapping,Tower Hamlets
WaterlooLondon,Lambeth
Waterloo EastLondon,Lambeth
Watford High Street,Watfordout-boundary
Watford Junction,Watfordout-boundary
Welling,Bexley
Wembley Central[28][62],Brent
Wembley Stadium,Brent
West Brompton,Kensington and Chelsea
Westcombe Park[63],Greenwich
West Croydon,Croydon
West Drayton[64],Hillingdon
West Dulwich,Southwark
West Ealing,Ealing
West Ham,Newham
West Hampstead,Camden
West Hampstead Thameslink,Camden
West Norwood[12],Lambeth
West Ruislip,Hillingdon
West Sutton,Sutton
West Wickham,Bromley
Whitechapel,Tower Hamlets
White Hart Lane,Haringey
Whitton,Richmond upon Thames
Whyteleafe,Tandridgeout-boundary
Whyteleafe South,Tandridgeout-boundary
Willesden Junction,Brent
Wimbledon,Merton
Wimbledon Chase,Merton
Winchmore Hill,Enfield
Woodgrange Park,Newham
Woodmansterne,Croydon
Wood Street[48],Waltham Forest
Woolwich Arsenal,Greenwich
Woolwich Dockyard[65],Greenwich
Worcester Park[66],Sutton
